episode,return
728,-435.19063582151495
729,-527.0260193437362
730,-535.8808077903161
731,-514.2162398958866
732,-518.0594017230081
733,-639.8462367266671
734,-505.25293584543226
735,-463.596677105849
736,-609.9545554786392
737,-796.4584358836095
738,-542.2091283380257
739,-530.9596369354095
740,-558.6884223143439
741,-539.9457236964824
742,-916.1097996931053
743,-312.82662179109593
744,-632.6892541487294
745,-642.1762132976386
746,-689.8238523478655
747,-624.7452950325978
748,-7.840103974372944
749,-529.3546507640522
750,-626.072822135262
751,-493.6138028617103
752,-512.3554514110302
753,-683.6277313873267
754,-488.6781188197491
755,-596.6116671162258
756,-567.056127315147
757,-422.57584570328515
758,-566.2618777475375
759,-466.33207965195413
760,-512.2048079210236
761,-379.6522648084039
762,-793.3755798343202
763,-561.4230442477169
764,-700.4228766924891
765,-589.0989665997228
766,-521.8342025760714
767,-571.3302523538754
768,-543.2162461578756
769,-181.85075295833212
770,-604.536752111842
771,-626.8927767859741
772,-511.12834428770583
773,-665.5916674729766
774,-597.8737854114479
775,-637.3200048501435
776,-609.8260628845195
777,-663.4661845452068
778,-706.340874843885
779,-653.0854514427016
780,-565.7233229495472
781,-637.234855312598
782,-616.3291805943269
783,-612.8737745544428
784,-469.1431162528796
785,-684.2064349310297
786,-667.7256970653079
787,-588.5087415408425
788,-719.7775887172113
789,-478.38431252791906
790,-494.9240864389851
791,-418.2513556730373
792,-723.0463679949879
793,-510.60932809904546
794,-472.69657232306986
795,-500.7145658841042
796,-420.6762893944425
797,-597.9924211508649
798,-572.9398051924128
799,-453.9182791685871
800,-548.0292443582449
801,-534.3146752571807
802,-418.9573576259001
803,-296.8183873978504
804,-469.9985920829708
805,-458.9638672501373
806,-859.4487472610181
807,-370.888740030213
808,-554.0350399402312
809,-509.4713450554171
810,-621.2183298404511
811,-356.80507322968487
812,-602.181439494748
813,-582.4480282824161
814,-571.9508010791085
815,-639.1028735470762
816,-523.466905146265
817,-737.2504018933453
818,-516.7214480075868
819,-653.218095769786
820,-655.7403955879172
821,-634.6686780312261
822,-688.2956878264913
823,-523.1423076702108
824,-518.102313169084
825,-670.6095040038111
826,-601.1768633541116
827,-623.0847439162607
828,-555.2542032042699
829,-523.4566966793043
830,-537.9103297804884
831,-289.04361214939246
832,-619.2315413569407
833,-577.5778523974243
834,-598.3275434089114
835,-544.218649292778
836,-558.6746913834404
837,-510.42725917532994
838,-629.5517559712065
839,-520.2134085882956
840,-761.8521554833162
